"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TAVG"
"USC00185111","LAUREL 3 W, MD US","39.0847","-76.9002","121.9","2014-11","2.61",,"44.3"
"USC00185111","LAUREL 3 W, MD US","39.0847","-76.9002","121.9","2014-12","3.87",,"40.0"
"USC00185111","LAUREL 3 W, MD US","39.0847","-76.9002","121.9","2015-01","3.81",,"31.0"
"USC00185111","LAUREL 3 W, MD US","39.0847","-76.9002","121.9","2015-02","1.86",,"26.4"
"USC00185111","LAUREL 3 W, MD US","39.0847","-76.9002","121.9","2015-03","4.62",,"41.1"
"USC00185111","LAUREL 3 W, MD US","39.0847","-76.9002","121.9","2015-04","4.35",,"56.2"
"USC00185111","LAUREL 3 W, MD US","39.0847","-76.9002","121.9","2015-05","3.00",,"70.6"
"USC00185111","LAUREL 3 W, MD US","39.0847","-76.9002","121.9","2015-06","11.48",,"75.1"
"USC00185111","LAUREL 3 W, MD US","39.0847","-76.9002","121.9","2015-07","2.43",,"78.2"
"USC00185111","LAUREL 3 W, MD US","39.0847","-76.9002","121.9","2015-08","1.13",,"77.6"
"USC00185111","LAUREL 3 W, MD US","39.0847","-76.9002","121.9","2016-05",,"0.0",
"USC00185111","LAUREL 3 W, MD US","39.0847","-76.9002","121.9","2016-06",,"0.0",
"USC00185111","LAUREL 3 W, MD US","39.0847","-76.9002","121.9","2016-07",,"0.0",
"USC00185111","LAUREL 3 W, MD US","39.0847","-76.9002","121.9","2016-08",,"0.0",
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.0399","-77.0041","103.3","2016-05","5.13",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.0399","-77.0041","103.3","2016-06","3.63",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.0399","-77.0041","103.3","2016-07","5.99",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.0399","-77.0041","103.3","2016-08","2.72","0.0",
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.0399","-77.0041","103.3","2016-09","3.36",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.0399","-77.0041","103.3","2016-10","0.74",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.0399","-77.0041","103.3","2016-11","0.40",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.0399","-77.0041","103.3","2016-12","3.52",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.0399","-77.0041","103.3","2017-01","2.89",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.0399","-77.0041","103.3","2017-02","0.37",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.0399","-77.0041","103.3","2017-03","0.89",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.0399","-77.0041","103.3","2017-05","6.34",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.0399","-77.0041","103.3","2017-06","1.54",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.0399","-77.0041","103.3","2017-07","9.79",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.0399","-77.0041","103.3","2017-09","1.99",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.0399","-77.0041","103.3","2017-10","3.16",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","39.0399","-77.0041","103.3","2017-11","2.18",,
"US1MDBL0013","JACKSONVILLE 1.5 NE, MD US","39.5362","-76.5446","149.0","2014-12","3.73",,
"US1MDBL0013","JACKSONVILLE 1.5 NE, MD US","39.5362","-76.5446","149.0","2015-01","3.09",,
"US1MDBL0013","JACKSONVILLE 1.5 NE, MD US","39.5362","-76.5446","149.0","2015-02","1.96","11.8",
"US1MDBL0013","JACKSONVILLE 1.5 NE, MD US","39.5362","-76.5446","149.0","2015-03","5.04",,
"US1MDBL0013","JACKSONVILLE 1.5 NE, MD US","39.5362","-76.5446","149.0","2015-04","2.49",,
"US1MDBL0013","JACKSONVILLE 1.5 NE, MD US","39.5362","-76.5446","149.0","2015-05","3.07",,
"US1MDBL0013","JACKSONVILLE 1.5 NE, MD US","39.5362","-76.5446","149.0","2015-06","8.04",,
"US1MDBL0013","JACKSONVILLE 1.5 NE, MD US","39.5362","-76.5446","149.0","2015-08","2.19",,
"US1MDBL0013","JACKSONVILLE 1.5 NE, MD US","39.5362","-76.5446","149.0","2015-09","5.35",,
"US1MDBL0013","JACKSONVILLE 1.5 NE, MD US","39.5362","-76.5446","149.0","2015-10","4.06",,
"US1MDBL0013","JACKSONVILLE 1.5 NE, MD US","39.5362","-76.5446","149.0","2015-11","2.05",,
"US1MDBL0013","JACKSONVILLE 1.5 NE, MD US","39.5362","-76.5446","149.0","2015-12","4.13",,
"US1MDBL0013","JACKSONVILLE 1.5 NE, MD US","39.5362","-76.5446","149.0","2016-01","5.59",,
"US1MDBL0013","JACKSONVILLE 1.5 NE, MD US","39.5362","-76.5446","149.0","2016-02","5.35","6.2",
"US1MDBL0013","JACKSONVILLE 1.5 NE, MD US","39.5362","-76.5446","149.0","2016-03","2.27",,
"US1MDBL0013","JACKSONVILLE 1.5 NE, MD US","39.5362","-76.5446","149.0","2016-04","1.87",,
